time  , u_vx  , u_omega  
7.794333  ,  0.999994,  0.500001  
7.844333  ,  0.999994,  0.500001  
7.894333  ,  0.999993,  0.500001  
7.944333  ,  0.999993,  0.500001  
7.994333  ,  0.999993,  0.500001  
8.044333  ,  0.999993,  0.500001  
8.094333  ,  0.999993,  0.500001  
8.144333  ,  0.999993,  0.500001  
8.194333  ,  0.999992,  0.500001  
8.244333  ,  0.999992,  0.500000  
8.294333  ,  0.999992,  0.500000  
8.344333  ,  0.999992,  0.500000  
8.394333  ,  0.999991,  0.500000  
8.444333  ,  0.999991,  0.500000  
8.494333  ,  0.999991,  0.500000  
8.544333  ,  0.999991,  0.500000  
8.594333  ,  0.999990,  0.500000  
8.644333  ,  0.999990,  0.500000  
8.694333  ,  0.999990,  0.500000  
8.744333  ,  0.999989,  0.500000  
8.794333  ,  0.999989,  0.499999  
8.844333  ,  0.999989,  0.499999  
8.894333  ,  0.999988,  0.499999  
8.944333  ,  0.999988,  0.499999  
8.994333  ,  0.999987,  0.499999  
9.044333  ,  0.999987,  0.499999  
9.094333  ,  0.999986,  0.499999  
9.144333  ,  0.999986,  0.499999  
9.194333  ,  0.999985,  0.499999  
9.244333  ,  0.999985,  0.499999  
9.294333  ,  0.999984,  0.499999  
9.344333  ,  0.999983,  0.499999  
9.394333  ,  0.999982,  0.499998  
9.444333  ,  0.999982,  0.499998  
9.494333  ,  0.999981,  0.499998  
9.544333  ,  0.999980,  0.499998  
9.594333  ,  0.999979,  0.499998  
9.644333  ,  0.999978,  0.499998  
9.694333  ,  0.999977,  0.499998  
9.744333  ,  0.999976,  0.499998  
9.794333  ,  0.999974,  0.499998  
9.844333  ,  0.999973,  0.499998  
9.894333  ,  0.999971,  0.499998  
9.944333  ,  0.999970,  0.499998  
9.994333  ,  0.999968,  0.499998  
10.044333  ,  0.999967,  0.499998  
10.094333  ,  0.999965,  0.499998  
10.144333  ,  0.999963,  0.499998  
10.194333  ,  0.999961,  0.499998  
10.244333  ,  0.999958,  0.499998  
10.294333  ,  0.999956,  0.499998  
10.344333  ,  0.999954,  0.499999  
10.394333  ,  0.999951,  0.499999  
10.444333  ,  0.999948,  0.499999  
10.494333  ,  0.999946,  0.500000  
10.544333  ,  0.999943,  0.500001  
10.594333  ,  0.999940,  0.500001  
10.644333  ,  0.999938,  0.500002  
10.694333  ,  0.999935,  0.500003  
10.744333  ,  0.999933,  0.500004  
10.794333  ,  0.999931,  0.500006  
10.844333  ,  0.999929,  0.500007  
10.894333  ,  0.999928,  0.500008  
10.944333  ,  0.999927,  0.500009  
10.994333  ,  0.999927,  0.500010  
11.044333  ,  0.999928,  0.500011  
11.094333  ,  0.999929,  0.500012  
11.144333  ,  0.999931,  0.500013  
11.194333  ,  0.999933,  0.500013  
11.244333  ,  0.999936,  0.500013  
11.294333  ,  0.999940,  0.500013  
11.344333  ,  0.999944,  0.500013  
11.394333  ,  0.999949,  0.500012  
11.444333  ,  0.999953,  0.500011  
11.494333  ,  0.999958,  0.500010  
11.544333  ,  0.999963,  0.500009  
11.594333  ,  0.999968,  0.500008  
11.644333  ,  0.999972,  0.500007  
11.694333  ,  0.999976,  0.500006  
11.744333  ,  0.999980,  0.500005  
11.794333  ,  0.999984,  0.500004  
11.844333  ,  0.999987,  0.500003  
11.894333  ,  0.999990,  0.500002  
11.944333  ,  0.999993,  0.500001  
11.994333  ,  0.999995,  0.500001  
12.044333  ,  0.999997,  0.500001  
12.094333  ,  0.999998,  0.500000  
12.144333  ,  0.999999,  0.500000  
12.194333  ,  1.000000,  0.500000  
12.244333  ,  1.000001,  0.500000  
12.294333  ,  1.000001,  0.500000  
12.344333  ,  1.000001,  0.500000  
12.394333  ,  1.000001,  0.500000  
12.444333  ,  1.000001,  0.500000  
12.494333  ,  1.000001,  0.500000  
12.544333  ,  1.000001,  0.500000  
12.594333  ,  1.000001,  0.500000  
12.644333  ,  1.000001,  0.500000  
12.694333  ,  1.000001,  0.500000  
12.744333  ,  1.000001,  0.500000  
12.794333  ,  1.000000,  0.500000  
12.844333  ,  1.000000,  0.500000  
12.894333  ,  1.000000,  0.500000  
12.944333  ,  1.000000,  0.500000  
12.994333  ,  1.000000,  0.500000  
13.044333  ,  1.000000,  0.500000  
13.094333  ,  1.000000,  0.500000  
13.144333  ,  1.000000,  0.500000  
13.194333  ,  1.000000,  0.500000  
13.244333  ,  1.000000,  0.500000  
13.294333  ,  1.000000,  0.500000  
13.344333  ,  1.000000,  0.500000  
13.394333  ,  1.000000,  0.500000  
13.444333  ,  1.000000,  0.500000  
13.494333  ,  1.000000,  0.500000  
13.544333  ,  1.000000,  0.500000  
13.594333  ,  1.000000,  0.500000  
13.644333  ,  1.000000,  0.500000  
13.694333  ,  1.000000,  0.500000  
13.744333  ,  1.000000,  0.500000  
13.794333  ,  1.000000,  0.500000  
13.844333  ,  1.000000,  0.500000  
13.894333  ,  1.000000,  0.500000  
13.944333  ,  1.000000,  0.500000  
13.994333  ,  1.000000,  0.500000  
14.044333  ,  1.000000,  0.500000  
14.094333  ,  1.000000,  0.500000  
14.144333  ,  1.000000,  0.500000  
14.194333  ,  1.000000,  0.500000  
14.244333  ,  1.000000,  0.500000  
14.294333  ,  1.000000,  0.500000  
14.344333  ,  1.000000,  0.500000  
14.394333  ,  1.000000,  0.500000  
14.444333  ,  1.000000,  0.500000  
14.494333  ,  1.000000,  0.500000  
14.544333  ,  1.000000,  0.500000  
14.594333  ,  1.000000,  0.500000  
14.644333  ,  1.000000,  0.500000  
14.694333  ,  1.000000,  0.500000  
14.744333  ,  1.000000,  0.500000  
14.794333  ,  1.000000,  0.500000  
14.844333  ,  1.000000,  0.500000  
14.894333  ,  1.000000,  0.500000  
14.944333  ,  1.000000,  0.500000  
14.994333  ,  1.000000,  0.500000  
15.000000  ,  1.000000,  0.500000  
